name,role,url,last_reviewed
OKX Web3,ecosystem and organiser/sponsor,https://web3.okx.com/xlayer/build-x-series,2026-07-30
ETHGlobal,independent organiser,https://ethglobal.com/events,2026-07-30
Solana,ecosystem and organiser,https://solana.com/hackathon,2026-07-30
Chainlink,technology provider and organiser/sponsor,https://chain.link/hackathon,2026-07-30
Polygon,ecosystem and technology partner,https://polygon.technology/developers,2026-07-30
Avalanche,ecosystem and technology partner,https://build.avax.network/,2026-07-30
BNB Chain,ecosystem and organiser,https://www.bnbchain.org/en/hackathons,2026-07-30
Aptos,ecosystem and technology partner,https://aptos.dev/,2026-07-30
Sui,ecosystem and technology partner,https://docs.sui.io/,2026-07-30
Devpost,hosting and submission platform,https://devpost.com/hackathons,2026-07-30
DoraHacks,Web3 hackathon platform,https://dorahacks.io/hackathon,2026-07-30
Mantle,ecosystem and technology partner,https://www.mantle.xyz/build,2026-07-30
